CID,item_type_id,item_type,size,date,Category,grade,outlet_id,qtym,Net Price,tmtm,division,item_type_id,rm,wire,noc,tlcolt,ecoInd,Area (km)^2,dfc,population,literacy_rate,pcx,uses,appliation group
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),07-08-22,Domestic,Grade1,2191,3100,54181.8,5735,56,744,4,4,7,300,High,3452,235.2,4559404,0.947,51.2,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),07-08-22,Domestic,Grade1,2355,800,13982.4,1480,24,372,2,2,4,180,Medium,1364,186.3,1665298,0.326,48.04,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),07-08-22,Domestic,Grade1,3179,200,3068.36,370,16,186,1,1,2,200,Medium,483.97,218,298528,2.033,53.87,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),07-08-22,Domestic,Grade1,3253,100,1534.18,185,12,186,1,1,4,262,Low,2032,172.2,2816223,0.451,38.5,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),07-08-22,Domestic,Grade1,3647,600,10486.8,1110,13,186,1,1,6,150,Medium,990,150.1,889053,0.436,45.56,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,1003,100,1747.8,185,11,186,1,1,4,350,High,928,160,1823580,0.643,59.6,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,1005,1400,20119.12,2590,15,186,1,1,3,300,High,1800,26,4262296,1.047,56.4,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,1007,500,8739,925,14,186,1,1,7,280,High,2799,196.7,2404250,0.604,51.1,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,1010,300,5243.4,555,32,372,2,2,7,150,Medium,2492,398.5,3078190,0.782,28.3,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,1015,2000,34956,3700,13,186,1,1,6,300,High,4394,219.2,2756398,0.801,60.1,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,2191,2000,34956,3700,28,372,2,2,7,300,High,3452,235.2,4559404,0.947,51.2,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),08-08-22,Domestic,Grade1,2224,700,11457.8,1295,36,372,2,2,6,350,High,2368,296.4,3578693,0.674,48.5,Fan & Lighting Connection,General
